21
512	きん	4
3487	ぎん	2
6915	くしゃみ	3
513	くじ	8
8088	くじら	1
2692	くせ	3
15	くだ	4
3488	くだり	2
7563	くちばし	1
8089	くつ	1
3744	くに	2
2693	くのいち	1
6916	くま	2
6917	くよくよ	1
514	くら	4
2694	くり	4
6768	くるぶし	1
5061	くるみ	1
16	くん	17
5062	ぐちゃぐちゃ	1
7235	ぐみ	1
5063	ぐる	1
3745	ぐるみ	2
9717	けし	1
6769	けじめ	1
5841	けち	1
5064	けん玉	1
1808	げ	9
8414	げき	1
6918	げた	1
515	げん	2
17	こ	15
18	こいつ	6
8090	こうかん	1
1809	こうた	1
8091	こけし	1
516	ここ	18
6919	ここら	1
8415	こころ	4
517	こざ	1
1810	こたつ	4
7564	こだわり	1
19	こちら	16
518	こっち	12
20	こと	21
21	ことし	3
2695	こないだ	5
2696	こなし	1
8714	このごろ	1
6001	このまま	1
1811	この世	5
519	この間	3
22	こぼれ	1
2697	こめかみ	1
23	こよみ	1
24	これ	20
2698	これら	1
1812	ころ	6
7565	こんち	1
25	こんにゃく	1
7566	こんばんは	2
9105	こんぶ	1
3746	ごい	1
7567	ごたえ	1
7236	ごちそう	2
6920	ごちそうさま	3
7416	ごっこ	1
2699	ごと	6
2700	ごはん	7
5065	ごぼう	2
8416	ごま	2
3747	ごま油	1
5066	ごめん	3
3748	ごり押し	2
1813	ごろ	7
8808	ごろ寝	1
5067	ご利益	1
9106	ご存じ	1
6921	ご存知	2
3489	ご無沙汰	1
1814	ご覧	4
520	ご飯	8
5068	ご馳走	1
26	さ	21
521	さい	4
8655	さいき	1
7417	さい先	1
9718	さおり	1
3749	さき	1
522	さくら	3
9719	さけ	1
2701	さし	3
8092	さちこ	1
27	さっき	14
9720	さっち	1
5842	さとう	1
28	さま	9
5069	さゆり	1
8809	さら	1
7568	さりげ	1
8417	さわ	1
7569	さわやか	1
29	さん	21
6922	さんま	1
3490	ざが	1
523	ざま	2
3750	しあわせ	4
9107	しいたけ	2
6002	しおふき	1
9108	しか	1
8810	しかた	1
9109	しがらみ	1
7570	しけ	1
8093	しげる	1
3491	しし	2
9721	しずく	1
3751	しだ	1
9110	しとやか	1
524	しな	4
5843	しののめ	1
5070	しのぶ	1
5844	しば	1
8418	しびれ	1
5071	しま	3
525	しめ	1
30	しゃかりき	1
526	しゃけ	1
8811	しゃこ	1
6923	しゃっくり	1
